Storekey,Country,City,Total_Sales
0,Canada,Edmonton,9597.719896316528
50,United States,Dallas,9568.43025302887
44,United States,Wawaka,9559.199829101562
34,Netherlands,s-Gravenpolder,9541.979736328125
0,United States,Midland,9507.719980716705
66,United States,Newark,9470.470059394836
0,Germany,Scharnebeck,9424.809692382812
50,United States,Memphis,9380.69009399414
51,United States,Memphis,9346.379888534546
0,Canada,Vancouver,9317.679978847504
61,United States,Chicago,9299.39003276825
55,United States,North Las Vegas,9262.159955501556
0,United States,Beaverton,9251.610032558441
0,United States,Boston,9231.01986336708
47,United States,Waimea,9216.209905147552
59,United States,Ada,9150.800170898438
59,United States,Charlotte,9145.499998092651
8,Canada,Vernon,9109.299771308899
48,United States,Tampa,9089.749966621399
64,United States,Jersey City,9058.039750099182
59,United States,Lyerly,9056.4302444458
0,Canada,Shawville,9046.329986572266
45,United States,Southfield,9005.95999622345
49,United States,Des Moines,8989.779905319214
53,United States,Seattle,8984.919906139374
9,Canada,Regina,8983.830035448074
5,Australia,DONCASTER EAST,8925.189758300781
40,United Kingdom,KIRKLINTON,8908.040161132812
0,Canada,Lachute,8906.299934387207
0,United States,Brook Park,8904.479949951172
61,United States,Myrtle Beach,8887.759735107422
0,United States,Louisville,8860.439926147461
54,United States,Merna,8846.429943084717
0,United States,Milwaukee,8817.509986877441
66,United States,Bedford,8813.19987487793
50,United States,Concord,8789.890121459961
10,Canada,Calgary,8788.080001831055
0,United States,Birmingham,8784.93010187149
65,United States,Denver,8774.59994506836
21,Germany,München,8757.71007156372
43,United States,New York,8754.330010175705
0,United States,Strongsville,8749.199981689453
56,United States,Springfield,8740.790080070496
0,United States,Springfield,8738.090162277222
0,United States,Anaheim,8727.129878044128
20,Germany,Seedorf,8716.200067520142
63,United States,Midvale,8714.849994897842
0,United States,San Diego,8705.110049247742
0,United States,Turner,8685.929786682129
64,United States,Conyers,8668.250248670578
5,Australia,CORUNNUN,8659.779762268066
20,Germany,Oberthulba,8627.000045776367
43,United States,Philadelphia,8621.98007106781
30,Italy,Arcugnano,8615.179782867432
43,United States,Jackson,8589.54999923706
39,United Kingdom,HORSEHAY,8577.600099563599
24,Germany,Reinheim,8546.130069732666
23,Germany,Schnaittenbach,8539.310298919678
38,United Kingdom,SNITTON,8504.699766159058
61,United States,Starkville,8492.129699707031
0,United States,Hickory Hills,8489.16015791893
0,United Kingdom,EAST BARKWITH,8484.419986724854
49,United States,Otho,8453.089914798737
34,Netherlands,Epe,8441.150047063828
33,Netherlands,Feanwâlden,8408.820098876953
43,United States,Atlanta,8400.190029144287
24,Germany,Vellmar,8381.069831848145
64,United States,Chappaqua,8380.77001953125
0,United Kingdom,CLWT-Y-BONT,8373.080292701721
56,United States,Fresno,8333.280000686646
55,United States,Auburn,8324.949848175049
45,United States,Bridgeport,8321.22977334261
5,Australia,HUON,8299.639904022217
10,Canada,Richmond,8276.280249118805
51,United States,San Antonio,8275.51987361908
27,Germany,Ermsleben,8271.729766845703
48,United States,Oakland,8262.410011291504
54,United States,Los Angeles,8208.099970817566
56,United States,Dearborn,8207.909880161285
57,United States,Deerfield Beach,8207.699798583984
10,Canada,Victoria,8189.329970359802
0,United States,Manchester,8186.719939231873
56,United States,Dayton,8117.50981593132
48,United States,Chicago,8114.389970779419
0,United States,Olpe,8113.829833984375
0,United States,Gainesville,8107.299901008606
0,United States,Worcester,8098.330000400543
61,United States,Rock Hill,8090.859892845154
43,United States,Fort Lauderdale,8079.870000839233
45,United States,San Francisco,8072.300107240677
30,Italy,Vaglia,8039.169904708862
27,Germany,Iffeldorf,8028.419826507568
50,United States,Olpe,8018.989880561829
57,United States,Baton Rouge,8013.379791259766
9,Canada,Brampton,7991.250022888184
41,United Kingdom,INGRAVE,7981.050197601318
0,United States,Burbank,7942.359896659851
64,United States,Schiller Park,7933.749847412109
47,United States,New York,7908.690093278885
0,Germany,Cottbus,7893.630052804947
53,United States,San Antonio,7873.090103149414
38,United Kingdom,DOWNHEAD,7848.159938812256
56,United States,Seattle,7843.699937343597
51,United States,Houston,7833.680045843124
59,United States,Chicago,7829.810013771057
55,United States,Palo Alto,7807.570252418518
48,United States,Everett,7802.560043334961
56,United States,Memphis,7797.150053024292
30,Italy,Galdo Degli Alburni,7791.880126714706
45,United States,Los Angeles,7772.199903249741
57,United States,Golden Valley,7768.97985458374
38,United Kingdom,WITTON GILBERT,7760.090097427368
0,United Kingdom,HERSHAM,7733.609983444214
43,United States,Warrensville Heights,7706.659805297852
0,United States,Washington,7679.739994049072
61,United States,Atlanta,7676.7899169921875
40,United Kingdom,EDVIN LOACH,7647.049835205078
5,Australia,CAMIRA,7636.970087051392
0,United States,El Monte,7605.219979286194
64,United States,Fort Worth,7601.689957618713
49,United States,West Los Angeles,7593.010004043579
50,United States,Goodland,7557.040252685547
0,United Kingdom,AISLABY,7556.240216255188
20,Germany,Potsdam,7545.129831314087
48,United States,Rupert,7540.489970207214
45,United States,East Hartford,7538.00004196167
0,United States,Irvine,7537.4600393772125
45,United States,Grand Rapids,7530.66010093689
0,United States,Jonesville,7523.609920501709
66,United States,Grand Rapids,7517.589859008789
16,France,GUÉRET,7500.949899673462
19,Germany,Berlin Britz,7499.349985122681
43,United States,Anchorage,7482.329936981201
49,United States,New York,7472.3698806762695
0,Germany,Gutach,7455.660127162933
30,Italy,Cenaia,7438.429795265198
54,United States,Akron,7438.310060501099
44,United States,Philadelphia,7432.550020933151
38,United Kingdom,HALSTEAD,7421.539794921875
0,United States,Chesterton,7420.859992980957
0,United States,Greenville,7409.979998588562
8,Canada,Kitchener,7408.830118179321
66,United States,Tampa,7389.749907016754
59,United States,Rochelle Park,7355.279897689819
44,United States,Wheeling,7338.670056343079
32,Netherlands,Arnhem,7338.4699511528015
0,United States,Worthington,7331.429889678955
0,France,CALAIS,7320.310018539429
0,United States,San Antonio,7317.679978132248
42,United Kingdom,LONGHOPE,7317.35986328125
29,Italy,Valtina,7312.720069885254
55,United States,Houston,7291.989944458008
0,United States,Boca Raton,7273.969940662384
47,United States,Santa Clara,7269.219741821289
0,United Kingdom,WIMBORNE ST GILES,7262.4401750564575
27,Germany,Ortenburg,7242.9997634887695
9,Canada,Belleville,7223.36008644104
53,United States,Denver,7215.419852435589
0,United States,Englewood,7202.449945688248
19,Germany,Geltendorf,7201.410057544708
51,United States,Indianapolis,7198.330003738403
66,United States,Richmond,7191.530117988586
47,United States,Houston,7184.730118513107
45,United States,Stamford,7162.6899173259735
61,United States,Los Angeles,7162.219995975494
66,United States,Green River,7160.920074462891
62,United States,Los Angeles,7144.330053329468
0,United States,Albuquerque,7139.759775876999
65,United States,Pascagoula,7134.85018157959
50,United States,Fort Worth,7085.360049247742
56,United States,Denver,7081.200054168701
45,United States,Windsor,7072.91002702713
0,United States,Knoxville,7067.640075683594
39,United Kingdom,NEWBRIDGE,7066.600176811218
51,United States,Walworth,7046.750049591064
57,United States,Grand Rapids,7011.549987792969
31,Netherlands,Zaandam,7010.050148963928
0,United States,Fort Worth,7005.150033950806
49,United States,Nora Springs,7004.240055561066
48,United States,New York,6987.320009231567
23,Germany,Hamburg Sasel,6985.909957885742
61,United States,Simpsonville,6985.229843139648
63,United States,Nashville,6978.649761199951
44,United States,Horatio,6975.260060310364
43,United States,Cottonwood,6974.180225372314
0,United States,Portsmouth,6965.609867095947
55,United States,Henderson,6965.11999630928
45,United States,New York,6964.279893875122
44,United States,Dallas,6956.130006790161
0,United States,Honolulu,6948.300094604492
56,United States,Houston,6944.9200184345245
64,United States,Charlotte,6940.350138187408
61,United States,Aurora,6901.489912033081
30,Italy,Sologno,6899.139954566956
56,United States,Eagan,6881.549841880798
1,Australia,KUNDA PARK,6867.740123748779
32,Netherlands,Amsterdam,6862.4500432014465
59,United States,Philadelphia,6861.990134239197
30,Italy,Taibon Agordino,6860.389973402023
44,United States,Newark,6852.630014419556
0,Netherlands,Amsterdam,6849.149908065796
57,United States,Mayo,6842.489874839783
0,United States,Salinas,6841.420011520386
54,United States,Falls Church,6822.560338973999
55,United States,Overton,6818.6600341796875
49,United States,Fort Lauderdale,6816.920114517212
54,United States,Phoenix,6808.950001716614
62,United States,Hershey,6806.420120239258
43,United States,Chignik,6800.009974479675
0,United Kingdom,WOLL,6797.749889373779
66,United States,Minneapolis,6781.649826049805
54,United States,Seattle,6777.249989748001
44,United States,Denver,6770.260047912598
1,Australia,MORNINGTON ISLAND,6766.239834308624
54,United States,Cairo,6764.610130310059
55,United States,Sturtevant,6763.209796905518
0,United States,Cambridge,6760.699956417084
43,United States,Birmingham,6748.709871292114
0,United States,Stockton,6732.339932918549
43,United States,Wisconsin Rapids,6725.740051269531
66,United States,Flagstaff,6725.740051269531
51,United States,Southfield,6724.259998321533
0,United States,Lafayette,6703.910019874573
56,United States,Hollywood,6664.460054397583
43,United States,West Palm Beach,6662.790102005005
64,United States,Brooklyn,6657.220022201538
56,United States,Saginaw,6651.760038852692
0,United Kingdom,WHITCOMBE,6637.109809875488
21,Germany,Hof,6634.140029907227
47,United States,Minneapolis,6625.769952774048
0,United States,Norfolk,6624.570076942444
44,United States,Marlboro,6622.1998291015625
50,United States,San Francisco,6608.319976806641
59,United States,Beaverton,6600.769971847534
8,Canada,Burnaby,6599.829872131348
47,United States,Saint Louis,6593.970007896423
19,Germany,Horbach,6592.180110692978
44,United States,New York,6589.569977283478
5,Australia,MUSCLE CREEK,6579.979978561401
0,United States,Riverside,6576.910026073456
8,Canada,Gibsons,6576.479977607727
0,Canada,Windsor,6572.880014419556
51,United States,Austin,6568.170001745224
9,Canada,West Vancouver,6566.239992141724
9,Canada,Campbell River,6566.009903430939
49,United States,Sioux City,6560.169993877411
0,United States,Chantilly,6545.049959182739
57,United States,Dallas,6530.840035438538
9,Canada,New Westminster,6530.490022182465
54,United States,Macks Creek,6530.159765481949
31,Netherlands,Haarlem,6530.040104866028
18,France,STRASBOURG,6519.529968261719
55,United States,Anaheim,6510.1600914001465
43,United States,Phoenix,6505.610056877136
51,United States,Chicago,6500.439944267273
47,United States,Los Angeles,6490.499958992004
19,Germany,München,6485.760063171387
53,United States,Boston,6477.049900531769
8,Canada,Regina,6473.170065879822
0,United States,Gillette,6464.9199340343475
54,United States,Atlantic City,6452.8298263549805
0,Canada,Trois Rivieres,6438.980095863342
53,United States,Glendive,6432.970060795546
56,United States,Philadelphia,6427.439920425415
18,France,MARSEILLE,6423.5599365234375
55,United States,Grand Rapids,6420.690078258514
62,United States,Walworth,6402.689880371094
47,United States,Indianapolis,6399.490117549896
50,United States,New York,6393.690091848373
36,United Kingdom,HOFF,6393.380035400391
21,Germany,Warburg,6388.209993362427
0,Canada,Welland,6377.329818725586
30,Italy,Orti,6370.989861249924
61,United States,North Charleston,6361.31982421875
0,United States,Salt Lake City,6341.41015625
0,Netherlands,Groningen,6319.060077667236
0,Germany,Schutz,6312.750038146973
0,United States,El Paso,6284.989941120148
4,Australia,CASTLE DOYLE,6282.570068359375
56,United States,Charlotte,6272.939786911011
44,United States,Clinton,6252.2200174331665
16,France,PONTOISE,6244.8498458862305
44,United States,Sacramento,6236.249953746796
47,United States,Birmingham,6235.539886474609
34,Netherlands,Amsterdam,6228.17987370491
59,United States,Coos Bay,6211.590055465698
0,Canada,Niagara Falls,6201.319996356964
50,United States,Anniston,6199.919944763184
6,Australia,GASCOYNE RIVER,6170.400246620178
16,France,CLICHY-SOUS-BOIS,6165.499890327454
61,United States,Seattle,6158.719886779785
21,Germany,Waldenburg,6151.7700452804565
0,Germany,Rüdersdorf,6150.890012264252
0,United States,Biloxi,6144.340019226074
65,United States,Philadelphia,6142.309909820557
63,United States,Albany,6134.350208282471
43,United States,Houston,6129.529978752136
56,United States,Chicago,6128.769960403442
0,Germany,Ingolstadt,6117.289844512939
0,France,MONTPELLIER,6109.210067033768
54,United States,New Orleans,6106.390064239502
57,United States,Southfield,6104.299942731857
63,United States,North Dade,6099.809803009033
45,United States,West Nyack,6099.6300048828125
36,United Kingdom,WELWICK,6085.650012969971
48,United States,Bordentown,6085.250175476074
43,United States,Dallas,6084.310037612915
55,United States,Buford,6083.0400390625
62,United States,Orange City,6083.0400390625
63,United States,Johnstown,6076.879970550537
31,Netherlands,Den Haag,6072.399902820587
56,United States,Worcester,6071.480072021484
66,United States,San Jose,6068.1298751831055
18,France,ALBI,6060.889821052551
43,United States,Milwaukee,6059.999847412109
26,Germany,Chemnitz,6057.609917640686
65,United States,El Paso,6054.850006103516
0,United States,Newark,6050.759868621826
0,United States,Sacramento,6049.559933662415
0,Germany,Plauen,6033.640079498291
38,United Kingdom,LILBURN TOWER,6032.729919433594
44,United States,Stamps,6018.499948978424
20,Germany,Egmating,6016.20001745224
0,United States,Arlington,6014.590004205704
36,United Kingdom,London,5998.239891052246
0,Germany,Osterburg,5987.830066680908
55,United States,Irvine,5985.35000038147
38,United Kingdom,BRONABER,5971.510099411011
64,United States,Austell,5966.890079975128
61,United States,Oklahoma City,5964.99009513855
48,United States,Idaho Falls,5962.109949588776
0,Canada,St Odilon De Cranbourne,5960.600060462952
65,United States,Bluefield,5957.769937515259
4,Australia,PONTYPOOL,5948.710052490234
19,Germany,Berlin Charlottenburg,5945.019897937775
0,Germany,Weiden,5940.9097900390625
0,Canada,Contrecoeur,5938.2201862335205
0,United States,San Mateo,5924.31005692482
53,United States,Livonia,5923.499977111816
41,United Kingdom,PLUMPTON HEAD,5922.069892883301
0,Canada,Kitscoty,5921.400032043457
4,Australia,Woodford,5920.830039978027
54,United States,Orlando,5919.9500370025635
23,Germany,Taufkirchen,5910.870012283325
53,United States,San Francisco,5894.539969444275
0,United States,Seattle,5890.699934959412
51,United States,Waltham,5881.740042686462
37,United Kingdom,LOCHHILL,5880.019958496094
45,United States,Marquette,5879.789956569672
0,Australia,WARAMANGA,5876.889953613281
0,United Kingdom,GOUDHURST,5876.349792480469
51,United States,San Diego,5872.57998752594
37,United Kingdom,MIDDLEZOY,5867.980041503906
0,United States,Colorado Springs,5859.599853515625
24,Germany,Wiesbaden,5859.170074462891
51,United States,Lubbock,5857.889957904816
0,United States,Detroit,5856.939966201782
57,United States,Corona,5850.77001619339
45,United States,Old Saybrook,5845.759899139404
50,United States,Seattle,5840.1599543094635
38,United Kingdom,PLUMPTON HEAD,5820.019937515259
40,United Kingdom,SELSFIELD COMMON,5819.980091094971
56,United States,Petersburg,5819.129988670349
0,United States,Wilton,5818.42999458313
37,United Kingdom,BRAMPTON BRYAN,5808.339905738831
47,United States,Gainesville,5807.049795150757
64,United States,Nashville,5805.600082397461
0,United States,Warrensville Heights,5803.629993438721
49,United States,Atlanta,5801.309984922409
66,United States,New York,5786.830049037933
45,United States,Houston,5784.819986343384
0,United States,Nashville,5772.199983358383
34,Netherlands,Zwolle,5765.219983100891
24,Germany,Viersen Helenabrunn,5764.9200439453125
0,United Kingdom,REGABY,5758.09997177124
0,United States,Syracuse,5753.5199937820435
10,Canada,White Rock,5740.250071287155
22,Germany,Niederwallmenach,5731.400047302246
53,United States,Dallas,5725.430037021637
38,United Kingdom,LLANDDOGED,5721.0799350738525
26,Germany,Mölln,5710.400131225586
22,Germany,Aschenhausen,5709.909948348999
41,United Kingdom,NAFFERTON,5706.539794921875
29,Italy,San Michele Cavana,5704.619964599609
34,Netherlands,Echt,5697.309938430786
0,United States,Stlouis,5693.010026931763
0,Italy,Galdo Degli Alburni,5691.700000762939
63,United States,Philadelphia,5690.680046081543
62,United States,Lake Andes,5689.889807701111
5,Australia,BIRDWOODTON,5689.159996032715
39,United Kingdom,NAVESTOCK,5688.069960594177
27,Germany,Geltendorf,5683.319869995117
0,United States,West Roxbury,5677.350170612335
44,United States,Jonesboro,5673.369968414307
6,Australia,SEPPINGS,5672.749982833862
5,Australia,DIGGORA,5666.650064468384
24,Germany,Elz,5653.710113525391
45,United States,Lexington,5642.770049571991
53,United States,Cleveland,5641.01006603241
28,Italy,Villaggio Garbagnate,5640.590019226074
0,United States,Freeport,5640.529935836792
61,United States,Madison,5640.050018310547
38,United Kingdom,LARKHALL,5639.680020809174
43,United States,Wisconsin Dells,5638.139867305756
44,United States,Los Angeles,5637.480017185211
0,United States,Griffin,5637.039842605591
57,United States,Lexington,5636.579999923706
23,Germany,Aschaffenburg,5628.199982881546
32,Netherlands,Bleiswijk,5626.430236816406
53,United States,Chicago,5616.320020914078
0,United States,Oklahoma City,5614.719916343689
55,United States,Frisco,5610.170066833496
63,United States,West Valley City,5601.640048503876
0,Italy,Prime Case,5599.38981628418
19,Germany,Lünne,5594.730041503906
24,Germany,München,5594.059872627258
0,Australia,KALGAN,5588.570156097412
6,Australia,KWEDA,5584.919921875
0,United States,Soso,5581.789819717407
5,Australia,NERRING,5581.219921112061
55,United States,Bradford,5577.8098220825195
43,United States,Peoria,5577.33997631073
47,United States,Camden,5576.529874801636
44,United States,Lexington Park,5568.960060119629
47,United States,Oakland,5557.739939689636
53,United States,Louisville,5545.800000667572
65,United States,Newark,5539.179927825928
56,United States,San Diego,5534.320068359375
54,United States,Columbus,5532.059951305389
0,United States,Marietta,5528.439874649048
29,Italy,Ono San Pietro,5522.939834594727
0,United States,Kenner,5514.050017356873
59,United States,Lexington,5509.029972076416
16,France,GAGNY,5503.3398723602295
19,Germany,Lipporn,5501.880035877228
26,Germany,Wyhl,5495.30989074707
51,United States,New York,5493.459919929504
61,United States,Corydon,5488.619962692261
22,Germany,Jena,5487.460041046143
40,United Kingdom,COMBE ST NICHOLAS,5476.499864578247
23,Germany,Königswinter,5473.2199783325195
47,United States,San Francisco,5465.599977493286
43,United States,Louisville,5463.760036468506
40,United Kingdom,APPLETON-LE-MOORS,5463.160064697266
0,United States,West Palm Beach,5455.649940490723
0,United States,Chattanooga,5454.949998855591
45,United States,Ocean Park,5450.280002593994
41,United Kingdom,BLAENWAUN,5447.740036010742
19,Germany,Schermbeck,5441.529863119125
50,United States,Phoenix,5441.270025253296
62,United States,Sylmar,5439.720115661621
61,United States,Charleston,5439.360097885132
30,Italy,Borsea,5436.200067520142
0,Canada,Avonmore,5427.49005651474
59,United States,Tigard,5427.42990064621
0,Australia,ILUKA,5425.670063018799
6,Australia,MINGAY,5416.399826049805
59,United States,Los Angeles,5394.71989440918
53,United States,Los Angeles,5388.920026302338
45,United States,Meriden,5383.3500328063965
45,United States,Owensboro,5379.030029296875
45,United States,Chicago,5373.4000017642975
51,United States,South China,5372.489874839783
65,United States,Alloy,5371.729990005493
56,United States,Dallas,5367.139946937561
56,United States,Armonk Village,5366.240145683289
62,United States,Finleyville,5360.700038909912
65,United States,Stoutland,5356.049852371216
54,United States,Detroit,5355.909963607788
51,United States,Mechanic Falls,5352.940055847168
0,Germany,Dresden,5336.290050506592
23,Germany,Zwota,5328.160095214844
0,Germany,Oberthulba,5326.5699825286865
10,Canada,Balfour,5322.6600341796875
44,United States,Boston,5321.0099511146545
29,Italy,Pieve Di Trebbio,5315.2501220703125
51,United States,Atlanta,5315.040084838867
23,Germany,Eggermühlen,5312.939821243286
50,United States,Bakersfield,5312.829940795898
50,United States,Austin,5309.2498569488525
44,United States,Wilson,5309.140043258667
57,United States,Plains,5301.099853515625
30,Italy,Ribera,5297.049999713898
61,United States,Norfolk,5295.899871826172
30,Italy,Corte De' Frati,5287.7199630737305
0,United States,Page,5286.729856491089
8,Canada,New Westminster,5268.499931335449
65,United States,Stockton,5267.500115394592
54,United States,Table Mesa,5266.350128173828
0,United States,Matthews,5262.909963607788
45,United States,Miami,5254.1500415802
59,United States,Corvallis,5249.670040607452
55,United States,Washington,5247.479995727539
43,United States,Stockton,5245.699977397919
43,United States,Lake Geneva,5240.50008392334
53,United States,Atlanta,5239.009997367859
39,United Kingdom,CRAILINGHALL,5237.129981994629
64,United States,Oklahoma City,5236.589996814728
20,Germany,Dallgow,5235.689910888672
8,Canada,Burlington,5233.600019931793
0,United States,Binghamton,5231.509996414185
36,United Kingdom,WOOTTON,5229.979901075363
62,United States,San Antonio,5210.649976730347
23,Germany,Chemnitz,5209.949863433838
57,United States,Wayne,5202.430045604706
50,United States,Paola,5201.759986877441
0,Australia,STURT,5199.330110788345
0,Netherlands,Eindhoven,5198.540079116821
65,United States,Dallas,5195.720083236694
0,United Kingdom,WEST LAMBROOK,5193.979932785034
59,United States,Ft Lauderdale,5187.409969329834
64,United States,Irvine,5187.3600153923035
0,Netherlands,Beek,5169.239938735962
54,United States,Saginaw,5168.599853515625
0,United Kingdom,GILLINGHAM,5164.880085945129
9,Canada,Victoria,5161.439999341965
30,Italy,Gramolazzo,5159.50994682312
0,Germany,Nomborn,5159.260053157806
0,France,SCHILTIGHEIM,5158.159950256348
66,United States,Greenville,5157.309913635254
49,United States,Grand Rapids,5155.24998998642
4,Australia,Montrose,5150.760200500488
0,United States,Wawaka,5143.81982421875
0,United Kingdom,LITTLE TORBOLL,5143.739915370941
0,United Kingdom,SHILLINGFORD,5143.7298583984375
66,United States,Westerville,5142.080034255981
65,United States,Indianapolis,5137.33994102478
21,Germany,Bremen Vegesack,5130.180023193359
0,United Kingdom,London,5128.8199734687805
48,United States,Baton Rouge,5120.000047683716
53,United States,Ventura,5119.16006565094
37,United Kingdom,LANGTHWAITE,5116.470027923584
34,Netherlands,Heemskerk,5115.760071754456
