Productkey,Currency code,Quantity_Sold,Revenue
433,EUR,68,65892.0
152,USD,55,65173.348388671875
1409,USD,109,64201.0
151,USD,54,63988.37841796875
458,USD,278,63912.198303222656
1650,USD,219,63507.807861328125
453,USD,276,63452.39831542969
454,USD,234,63156.598571777344
446,USD,285,62685.74913024902
611,EUR,27,61965.0
430,USD,229,61818.552795410156
435,USD,229,61818.552795410156
2087,USD,78,61698.0
459,USD,228,61537.19860839844
1425,USD,116,61364.0
1408,USD,116,61364.0
1842,USD,23,60996.0
440,USD,270,59386.49917602539
445,EUR,106,59254.0
416,CAD,61,59109.0
439,EUR,105,58695.0
56,USD,197,58312.0
429,EUR,97,58190.30236816406
1180,USD,36,57600.0
1933,USD,18,57599.81982421875
1915,USD,18,57599.81982421875
1605,USD,198,57418.01806640625
433,GBP,59,57171.0
2103,USD,111,56388.0
159,EUR,51,56099.489501953125
150,USD,47,55693.588623046875
53,USD,187,55352.0
611,USD,24,55080.0
451,EUR,98,54782.0
368,USD,42,54558.0
434,EUR,91,54509.0
1957,USD,17,54399.829833984375
1184,USD,61,54290.0
2093,USD,106,53848.0
1610,USD,184,53358.158203125
2106,GBP,60,52650.0
2097,USD,66,52206.0
149,USD,44,52138.6787109375
2115,USD,59,51772.5
450,CAD,56,51464.0
2112,USD,65,51415.0
422,GBP,53,51357.0
2101,USD,58,50895.0
420,EUR,101,50489.89938354492
417,EUR,84,50316.0
1649,USD,193,50178.068115234375
1858,USD,25,49747.50061035156
1660,USD,171,49588.288330078125
146,GBP,17,49299.829833984375
1614,USD,189,49138.108154296875
1179,USD,50,49000.0
55,USD,165,48840.0
2105,GBP,33,48675.0
518,USD,56,48664.0
551,EUR,21,48195.0
633,USD,21,48195.0
1609,USD,185,48098.148193359375
1975,USD,15,47999.849853515625
2176,USD,29,47850.0
1181,USD,30,47400.0
436,EUR,128,47232.0
2100,EUR,32,47200.0
1655,USD,162,46978.37841796875
1578,USD,214,46866.0
54,USD,158,46768.0
2107,USD,59,46669.0
1654,USD,179,46538.208251953125
138,USD,93,46499.069091796875
441,USD,201,46209.89877319336
417,GBP,77,46123.0
1226,USD,46,45954.0
444,GBP,50,45950.0
528,USD,56,45864.0
461,USD,56,45864.0
456,GBP,82,45838.0
457,USD,208,45749.599365234375
2100,GBP,31,45725.0
402,EUR,35,45465.0
1228,USD,28,45360.0
447,USD,197,45290.29879760742
2113,USD,89,45212.0
159,USD,41,45099.589599609375
165,USD,59,45047.090576171875
455,GBP,49,45031.0
421,EUR,96,45024.0
410,USD,34,44166.0
1207,USD,29,44080.0
2098,USD,86,43688.0
57,USD,279,43524.0
2087,EUR,55,43505.0
147,GBP,15,43499.849853515625
148,GBP,15,43499.849853515625
163,EUR,27,42989.398681640625
423,CAD,71,42529.0
1970,USD,47,42253.0
420,GBP,84,41991.59948730469
1581,USD,191,41829.0
427,EUR,89,41741.0
1945,EUR,13,41599.869873046875
164,AUD,26,41397.19873046875
439,GBP,74,41366.0
575,USD,18,41310.0
2110,GBP,28,41300.0
2128,USD,25,41250.0
1612,USD,227,40857.73124694824
429,GBP,68,40793.20166015625
113,USD,163,40748.37089538574
146,CAD,14,40599.85986328125
1206,EUR,26,40560.0
612,EUR,16,39984.0
1154,USD,40,39920.0
425,EUR,107,39483.0
58,USD,250,39000.0
1176,USD,39,39000.0
1229,USD,25,39000.0
432,EUR,78,38992.19952392578
2096,EUR,44,38610.0
2111,USD,44,38610.0
438,GBP,42,38598.0
1204,USD,24,38400.0
2116,USD,23,37950.0
1883,USD,19,37791.0
145,GBP,13,37699.869873046875
380,USD,29,37671.0
1625,USD,172,37668.0
346,USD,57,37563.0
1231,USD,25,37500.0
552,EUR,15,37485.0
540,EUR,15,37485.0
1827,CAD,14,37128.0
1622,USD,169,37011.0
334,USD,37,36963.0
1604,USD,142,36918.57861328125
456,EUR,66,36894.0
340,USD,45,36855.0
1834,USD,20,36360.0
2152,USD,22,36300.0
115,USD,144,35998.560791015625
2086,GBP,41,35977.5
1623,USD,164,35916.0
1659,USD,138,35878.61865234375
411,USD,51,35649.0
2108,USD,70,35560.0
2085,CAD,24,35400.0
2049,USD,53,35294.82012939453
1156,USD,22,35200.0
1921,EUR,11,35199.889892578125
1945,USD,11,35199.889892578125
374,USD,27,35073.0
140,USD,70,34999.29931640625
51,USD,175,34991.24946594238
623,EUR,14,34986.0
552,USD,14,34986.0
1456,USD,116,34916.0
1442,USD,66,34914.0
443,EUR,100,34900.0
428,CAD,36,34884.0
394,USD,46,34868.0
1415,USD,116,34800.0
462,USD,40,34760.0
111,USD,139,34748.610763549805
1602,USD,193,34738.071060180664
419,EUR,94,34686.0
505,USD,56,34664.0
464,USD,51,34629.0
63,USD,191,34571.0
1652,USD,192,34558.0810546875
1847,USD,13,34487.69873046875
1857,USD,13,34487.69873046875
633,AUD,15,34425.0
587,EUR,15,34425.0
1158,USD,22,34320.0
1432,USD,114,34200.0
1461,USD,111,34188.0
343,USD,31,34069.0
437,EUR,68,33993.19958496094
2090,CAD,23,33925.0
2090,EUR,23,33925.0
449,GBP,97,33853.0
396,USD,26,33774.0
402,USD,26,33774.0
49,USD,168,33591.59948730469
50,USD,168,33591.59948730469
434,CAD,56,33544.0
393,USD,56,33544.0
164,EUR,21,33436.198974609375
162,EUR,21,33436.198974609375
163,GBP,21,33436.198974609375
1240,USD,38,33364.0
1981,USD,37,33263.0
1412,USD,115,33235.0
149,EUR,28,33179.1591796875
150,GBP,28,33179.1591796875
2170,USD,20,33000.0
451,GBP,59,32981.0
430,EUR,122,32933.90148925781
421,GBP,70,32830.0
588,GBP,13,32487.0
564,USD,13,32487.0
362,EUR,25,32475.0
404,USD,25,32475.0
1434,USD,121,32428.0
61,USD,178,32218.0
1626,USD,147,32193.0
1455,USD,111,32190.0
1615,USD,111,32188.888916015625
1975,EUR,10,31999.89990234375
1969,EUR,10,31999.89990234375
437,GBP,64,31993.599609375
433,CAD,33,31977.0
2025,USD,48,31965.1201171875
458,EUR,139,31956.099151611328
147,CAD,11,31899.889892578125
1843,USD,16,31824.0
1873,USD,16,31824.0
1450,USD,103,31724.0
1157,EUR,20,31600.0
2086,EUR,36,31590.0
1656,USD,197,31518.03108215332
426,EUR,63,31493.699615478516
1203,USD,32,31360.0
60,USD,201,31356.0
1579,USD,143,31317.0
456,CAD,56,31304.0
371,USD,52,31148.0
448,EUR,115,31038.499298095703
156,USD,66,31018.020080566406
428,AUD,32,31008.0
1242,USD,37,31006.0
1459,USD,121,30976.0
159,AUD,28,30799.7197265625
2043,USD,46,30633.240112304688
342,USD,51,30549.0
424,EUR,113,30504.35137939453
2088,USD,60,30480.0
1580,USD,139,30441.0
444,AUD,33,30327.0
1460,USD,101,30300.0
460,EUR,101,30289.899383544922
1601,USD,189,30238.111038208008
445,GBP,54,30186.0
1416,USD,98,30184.0
1439,USD,100,30100.0
135,USD,86,30095.701049804688
1624,USD,137,30003.0
1152,USD,30,30000.0
137,USD,60,29999.3994140625
540,CAD,12,29988.0
576,EUR,12,29988.0
634,EUR,12,29988.0
338,USD,25,29975.0
1177,USD,30,29970.0
383,USD,50,29950.0
1202,USD,30,29940.0
386,EUR,23,29877.0
386,USD,23,29877.0
390,USD,23,29877.0
1848,GBP,15,29848.500366210938
599,EUR,13,29835.0
2111,EUR,34,29835.0
563,EUR,13,29835.0
112,USD,119,29748.810653686523
1445,USD,111,29748.0
1646,USD,185,29598.15101623535
2085,EUR,20,29500.0
426,GBP,59,29494.099639892578
455,CAD,32,29408.0
399,USD,49,29351.0
1651,USD,183,29278.171005249023
1877,USD,11,29172.0
64,USD,161,29141.0
427,CAD,62,29078.0
1607,USD,161,28978.390884399414
1577,USD,132,28908.0
1969,CAD,9,28799.909912109375
143,USD,96,28799.0390625
369,USD,41,28659.0
157,GBP,26,28599.73974609375
159,GBP,26,28599.73974609375
65,USD,158,28598.0
362,USD,22,28578.0
114,USD,114,28498.860626220703
1205,USD,18,28440.0
1435,USD,97,28421.0
1438,USD,98,28420.0
1232,USD,32,28416.0
1414,USD,110,28160.0
1525,USD,70,28140.0
435,GBP,104,28074.80126953125
341,USD,29,28043.0
2110,EUR,19,28025.0
1225,USD,28,28000.0
381,USD,40,27960.0
1476,USD,97,27936.0
1647,USD,155,27898.45085144043
1427,USD,121,27830.0
518,EUR,32,27808.0
1145,USD,49,27734.0
155,USD,59,27728.230072021484
2097,EUR,35,27685.0
423,GBP,46,27554.0
1422,USD,91,27391.0
366,EUR,36,27288.0
414,USD,36,27288.0
1834,GBP,15,27270.0
422,CAD,28,27132.0
435,EUR,100,26995.001220703125
431,EUR,73,26937.0
2102,CAD,34,26894.0
1524,USD,81,26730.0
1453,USD,103,26574.0
345,USD,38,26562.0
2100,CAD,18,26550.0
366,USD,35,26530.0
1852,USD,10,26528.9990234375
1827,GBP,10,26520.0
1182,USD,17,26520.0
1867,USD,10,26520.0
432,GBP,53,26494.699676513672
1449,USD,88,26400.0
2182,USD,16,26400.0
434,GBP,44,26356.0
2091,EUR,30,26325.0
427,GBP,56,26264.0
529,USD,30,26070.0
2114,USD,101,26007.5
1411,USD,97,25996.0
410,EUR,20,25980.0
1228,EUR,16,25920.0
1657,USD,144,25918.560791015625
1878,USD,13,25857.0
1183,USD,17,25840.0
1537,USD,70,25760.0
417,CAD,43,25757.0
56,EUR,87,25752.0
1064,USD,41,25707.0
1903,AUD,8,25599.919921875
1909,AUD,8,25599.919921875
1933,CAD,8,25599.919921875
1897,EUR,8,25599.919921875
1921,GBP,8,25599.919921875
1915,GBP,8,25599.919921875
1957,GBP,8,25599.919921875
1921,USD,8,25599.919921875
59,USD,164,25584.0
62,USD,141,25521.0
2101,CAD,29,25447.5
475,USD,31,25389.0
48,USD,169,25341.54948425293
1170,USD,40,25320.0
563,CAD,11,25245.0
539,EUR,11,25245.0
1447,USD,84,25116.0
353,USD,65,25018.499603271484
348,USD,33,25014.0
1861,USD,25,24997.500610351562
52,USD,125,24993.749618530273
564,CAD,10,24990.0
302,USD,25,24975.0
1655,EUR,86,24939.13916015625
1208,USD,28,24920.0
1463,USD,85,24905.0
1469,USD,124,24800.0
2152,EUR,15,24750.0
2122,USD,15,24750.0
1558,USD,65,24700.0
1428,USD,92,24656.0
1417,USD,92,24656.0
1100,USD,39,24648.0
1611,USD,154,24638.460845947266
1219,USD,37,24605.0
2106,EUR,28,24570.0
1292,USD,67,24558.849182128906
2102,GBP,31,24521.0
1436,USD,95,24510.0
1521,USD,79,24490.0
1230,USD,16,24480.0
1604,EUR,94,24439.05908203125
440,EUR,111,24414.449661254883
1458,USD,122,24400.0
1444,USD,106,24380.0
1159,EUR,16,24320.0
1465,USD,122,24278.0
139,USD,48,23999.51953125
1880,USD,15,23985.0
1840,USD,15,23985.0
602,CAD,24,23976.0
578,GBP,24,23976.0
625,USD,24,23976.0
446,EUR,109,23974.5496673584
154,EUR,51,23968.47006225586
2094,USD,93,23947.5
2109,USD,93,23947.5
1413,USD,80,23920.0
1609,EUR,92,23919.0791015625
1837,USD,9,23868.0
1089,USD,42,23856.0
1431,USD,93,23808.0
506,USD,35,23765.0
503,USD,29,23751.0
517,USD,29,23751.0
46,USD,158,23692.099517822266
2089,USD,92,23690.0
1864,CAD,13,23645.700317382812
1874,EUR,13,23634.0
530,USD,38,23522.0
153,USD,50,23498.500061035156
394,GBP,31,23498.0
1466,USD,81,23490.0
1421,USD,81,23490.0
1659,EUR,90,23399.09912109375
380,EUR,18,23382.0
1561,USD,58,23316.0
1543,USD,58,23316.0
2037,EUR,35,23307.90008544922
1080,USD,36,23256.0
419,GBP,63,23247.0
124,USD,83,23239.169189453125
106,USD,174,23140.260955810547
2140,USD,14,23100.0
158,EUR,21,23099.789794921875
1462,USD,86,23048.0
1648,USD,209,22987.909553527832
633,GBP,10,22950.0
454,EUR,85,22941.499481201172
165,EUR,30,22905.30029296875
519,USD,37,22903.0
1209,CAD,26,22880.0
1452,USD,78,22854.0
2096,CAD,26,22815.0
1625,EUR,104,22776.0
133,USD,65,22746.75079345703
1109,USD,52,22682.400634765625
457,EUR,103,22654.849685668945
2061,USD,34,22641.960083007812
1446,USD,78,22542.0
1410,USD,98,22540.0
1563,USD,84,22512.0
540,GBP,9,22491.0
588,USD,9,22491.0
1502,USD,94,22466.0
1963,CAD,7,22399.929931640625
1897,GBP,7,22399.929931640625
1903,USD,7,22399.929931640625
1409,EUR,38,22382.0
363,USD,32,22368.0
439,CAD,40,22360.0
1162,USD,26,22360.0
88,USD,149,22348.510818481445
90,USD,149,22348.510818481445
1557,USD,72,22320.0
163,CAD,14,22290.79931640625
2102,EUR,28,22148.0
2095,GBP,15,22125.0
1187,USD,26,22100.0
368,EUR,17,22083.0
1555,USD,60,22080.0
449,EUR,63,21987.0
554,USD,22,21978.0
1464,USD,85,21930.0
1606,USD,137,21918.630752563477
1454,USD,110,21890.0
1613,USD,199,21888.009574890137
1182,GBP,14,21840.0
1859,USD,12,21826.80029296875
1874,USD,12,21816.0
1844,USD,12,21816.0
1839,USD,12,21816.0
520,USD,32,21728.0
504,USD,25,21725.0
103,USD,188,21620.0
459,EUR,80,21591.99951171875
1976,USD,24,21576.0
1433,USD,70,21560.0
122,USD,77,21559.229248046875
1138,USD,55,21554.49966430664
1186,USD,25,21500.0
47,USD,143,21442.849563598633
1108,USD,34,21386.0
453,EUR,93,21380.699432373047
2107,EUR,27,21357.0
151,EUR,18,21329.45947265625
1654,EUR,82,21319.17919921875
422,AUD,22,21318.0
1847,GBP,8,21223.19921875
1852,GBP,8,21223.19921875
1862,GBP,8,21223.19921875
1475,USD,92,21160.0
347,USD,36,21096.0
1467,USD,70,21070.0
2115,AUD,24,21060.0
590,USD,21,20979.0
553,USD,30,20970.0
397,USD,30,20970.0
158,AUD,19,20899.809814453125
476,USD,24,20856.0
105,USD,181,20815.0
1875,USD,13,20787.0
161,GBP,13,20698.599365234375
1056,USD,33,20691.0
154,USD,44,20678.680053710938
539,AUD,9,20655.0
551,CAD,9,20655.0
563,USD,9,20655.0
1989,USD,31,20644.140075683594
1660,EUR,71,20589.289306640625
1157,USD,13,20540.0
1418,USD,70,20510.0
432,CAD,41,20495.89974975586
1160,USD,23,20470.0
1496,USD,71,20448.0
1163,USD,24,20400.0
531,USD,30,20370.0
1765,EUR,34,20359.199584960938
1653,USD,185,20348.149604797363
589,USD,29,20271.0
1161,USD,23,20240.0
1549,USD,52,20228.0
444,CAD,22,20218.0
1483,USD,75,20175.0
152,CAD,17,20144.489501953125
149,GBP,17,20144.489501953125
1420,USD,101,20099.0
39,USD,67,20048.410736083984
1884,USD,11,19998.0
437,CAD,40,19995.999755859375
600,EUR,8,19992.0
623,GBP,8,19992.0
1846,USD,20,19980.0
430,GBP,74,19976.300903320312
1448,USD,78,19968.0
1888,AUD,10,19890.0
1868,EUR,10,19890.0
1833,USD,10,19890.0
1509,USD,64,19840.0
1172,USD,47,19834.0
491,USD,32,19808.0
2128,EUR,12,19800.0
2170,EUR,12,19800.0
1518,USD,66,19800.0
157,CAD,18,19799.81982421875
1946,USD,22,19778.0
2107,CAD,25,19775.0
1765,USD,33,19760.39959716797
1554,USD,66,19668.0
1294,USD,33,19635.0
1528,USD,65,19630.0
1208,EUR,22,19580.0
405,USD,28,19572.0
451,CAD,35,19565.0
425,GBP,53,19557.0
426,CAD,39,19496.09976196289
374,AUD,15,19485.0
374,GBP,15,19485.0
1531,USD,50,19450.0
452,EUR,88,19355.599731445312
89,USD,129,19348.710708618164
1437,USD,97,19303.0
1451,USD,72,19296.0
1479,USD,62,19220.0
1933,GBP,6,19199.93994140625
431,GBP,52,19188.0
417,AUD,32,19168.0
377,USD,32,19168.0
335,USD,22,19118.0
1567,USD,49,19061.0
1550,USD,68,19040.0
1545,USD,71,19028.0
1195,USD,29,18995.0
636,USD,19,18981.0
378,USD,25,18950.0
1603,USD,172,18918.27963256836
108,USD,142,18884.580780029297
375,USD,27,18873.0
1650,EUR,65,18849.349365234375
101,USD,157,18840.0
1569,USD,63,18837.0
2103,GBP,37,18796.0
91,USD,125,18748.750686645508
1570,USD,47,18706.0
1211,USD,22,18700.0
160,EUR,17,18699.829833984375
1291,USD,51,18694.049377441406
55,EUR,63,18648.0
1192,EUR,31,18600.0
1862,USD,7,18570.29931640625
407,USD,31,18569.0
1842,CAD,7,18564.0
1887,EUR,7,18564.0
1892,GBP,7,18564.0
1872,USD,7,18564.0
136,USD,53,18547.350646972656
1185,USD,21,18480.0
1209,USD,21,18480.0
1649,EUR,71,18459.289306640625
1233,EUR,21,18438.0
1517,USD,69,18423.0
433,AUD,19,18411.0
349,USD,48,18384.0
622,GBP,8,18360.0
611,GBP,8,18360.0
593,USD,40,18360.0
448,GBP,68,18353.199584960938
165,CAD,24,18324.240234375
1478,USD,61,18300.0
490,USD,21,18249.0
1522,USD,48,18240.0
1061,USD,31,18228.0
1894,GBP,10,18180.0
1546,USD,60,18120.0
436,GBP,49,18081.0
1116,USD,28,18060.0
54,EUR,61,18056.0
370,USD,47,17998.65057373047
1851,USD,18,17998.200439453125
429,CAD,30,17997.000732421875
602,USD,18,17982.0
1622,EUR,82,17958.0
1541,USD,60,17940.0
447,EUR,78,17932.19952392578
1853,USD,9,17909.100219726562
2123,USD,24,17903.759765625
1828,USD,9,17901.0
1113,USD,41,17884.20050048828
418,GBP,66,17816.700805664062
150,EUR,15,17774.549560546875
109,USD,133,17687.67073059082
1147,USD,27,17685.0
1443,EUR,30,17670.0
367,USD,54,17604.0
29,USD,69,17595.0
1870,USD,11,17589.0
2099,USD,68,17510.0
552,CAD,7,17493.0
360,USD,46,17480.0
1223,USD,38,17480.0
613,USD,25,17475.0
556,USD,35,17465.0
53,EUR,59,17464.0
455,AUD,19,17461.0
438,AUD,19,17461.0
438,CAD,19,17461.0
1408,EUR,33,17457.0
2092,EUR,22,17402.0
145,AUD,6,17399.93994140625
146,AUD,6,17399.93994140625
2037,USD,26,17314.440063476562
1995,USD,26,17314.440063476562
1566,USD,65,17290.0
1953,USD,35,17255.0
1220,USD,38,17176.0
53,GBP,58,17168.0
2514,USD,132,17158.680725097656
1658,USD,156,17158.439666748047
2159,USD,23,17157.769775390625
350,USD,43,17157.0
1652,EUR,95,17099.050521850586
1934,USD,19,17081.0
1958,USD,19,17081.0
1104,USD,40,17080.0
1430,USD,57,17043.0
1533,USD,57,17043.0
1101,USD,30,17040.0
138,EUR,34,16999.65966796875
114,EUR,68,16999.320373535156
50,EUR,85,16995.749740600586
1154,EUR,17,16966.0
1132,USD,27,16929.0
359,USD,46,16928.0
380,GBP,13,16887.0
1449,GBP,56,16800.0
92,USD,112,16798.880615234375
102,USD,146,16790.0
375,EUR,24,16776.0
403,USD,24,16776.0
445,CAD,30,16770.0
107,USD,126,16756.740692138672
1216,USD,27,16740.0
424,GBP,62,16736.900756835938
1207,AUD,11,16720.0
1511,USD,73,16717.0
1536,USD,56,16688.0
2101,GBP,19,16672.5
1179,GBP,17,16660.0
1295,USD,28,16660.0
1155,USD,17,16660.0
1527,USD,62,16616.0
152,GBP,14,16589.57958984375
157,EUR,15,16499.849853515625
158,GBP,15,16499.849853515625
86,USD,165,16498.349647521973
568,USD,33,16467.0
418,EUR,61,16466.950744628906
364,USD,43,16466.850524902344
1440,USD,87,16443.0
2129,USD,22,16411.77978515625
104,USD,142,16330.0
458,GBP,71,16322.89956665039
520,EUR,24,16296.0
1472,USD,68,16252.0
1530,USD,61,16226.0
2090,GBP,11,16225.0
1192,USD,27,16200.0
144,USD,54,16199.45947265625
336,USD,23,16077.0
387,USD,23,16077.0
201,USD,23,16077.0
563,AUD,7,16065.0
633,CAD,7,16065.0
599,CAD,7,16065.0
1200,USD,16,16000.0
1927,AUD,5,15999.949951171875
1975,AUD,5,15999.949951171875
1903,CAD,5,15999.949951171875
1915,EUR,5,15999.949951171875
1951,EUR,5,15999.949951171875
1939,USD,5,15999.949951171875
1963,USD,5,15999.949951171875
420,CAD,32,15996.7998046875
1890,USD,10,15990.0
1845,USD,10,15990.0
1835,USD,10,15990.0
1577,EUR,73,15987.0
614,USD,16,15984.0
2031,USD,24,15982.56005859375
580,USD,32,15968.0
1538,USD,57,15960.0
1615,GBP,55,15949.449462890625
1235,EUR,19,15922.0
384,USD,21,15918.0
1852,EUR,6,15917.3994140625
1843,GBP,8,15912.0
1832,USD,6,15912.0
1888,USD,8,15912.0
1887,USD,6,15912.0
1892,USD,6,15912.0
1409,GBP,27,15903.0
1140,USD,33,15856.5
1506,USD,55,15840.0
1647,EUR,88,15839.120483398438
2092,GBP,20,15820.0
1489,USD,51,15810.0
2115,CAD,18,15795.0
2115,EUR,18,15795.0
1450,EUR,51,15708.0
1548,USD,59,15694.0
1203,GBP,16,15680.0
1495,USD,68,15640.0
207,USD,27,15633.0
355,USD,43,15630.5
506,EUR,23,15617.0
492,USD,23,15617.0
452,GBP,71,15616.449783325195
1429,USD,54,15606.0
98,USD,130,15600.0
49,EUR,78,15596.09976196289
404,GBP,12,15588.0
390,GBP,12,15588.0
338,EUR,13,15587.0
1540,USD,41,15580.0
365,EUR,26,15574.0
413,USD,26,15574.0
489,USD,19,15561.0
33,USD,61,15555.0
83,USD,155,15498.449668884277
359,EUR,42,15456.0
152,EUR,13,15404.609619140625
1608,USD,140,15398.599700927734
345,GBP,22,15378.0
565,USD,22,15378.0
1118,USD,46,15364.0
443,GBP,44,15356.0
1609,GBP,59,15339.409423828125
2073,USD,23,15316.620056152344
1426,EUR,26,15314.0
1904,CAD,17,15283.0
2098,EUR,30,15240.0
85,USD,152,15198.479675292969
84,USD,152,15198.479675292969
1539,USD,49,15190.0
441,EUR,66,15173.399597167969
453,GBP,66,15173.399597167969
408,USD,20,15160.0
425,AUD,41,15129.0
1423,USD,80,15120.0
1556,USD,54,15120.0
1501,USD,66,15114.0
1624,EUR,69,15111.0
1493,USD,56,15064.0
2112,EUR,19,15029.0
2112,GBP,19,15029.0
588,EUR,6,14994.0
612,GBP,6,14994.0
552,GBP,6,14994.0
1544,USD,63,14994.0
302,GBP,15,14985.0
1846,GBP,15,14985.0
1201,USD,15,14985.0
389,USD,25,14975.0
1419,USD,58,14964.0
951,USD,53,14893.0
65,EUR,82,14842.0
1532,USD,53,14840.0
1512,USD,62,14818.0
1088,USD,22,14806.0
1473,USD,55,14795.0
361,USD,38,14782.0
436,CAD,40,14760.0
1131,USD,45,14760.0
2100,AUD,10,14750.0
2110,AUD,10,14750.0
115,EUR,59,14749.41032409668
2093,GBP,29,14732.0
1515,USD,64,14720.0
1485,USD,64,14720.0
1179,EUR,15,14700.0
635,USD,21,14679.0
225,USD,21,14679.0
391,USD,21,14679.0
1578,EUR,67,14673.0
1481,USD,64,14656.0
1983,USD,22,14650.680053710938
347,EUR,25,14650.0
1210,USD,17,14620.0
117,USD,86,14619.14047241211
1657,EUR,81,14579.190444946289
153,EUR,31,14569.070037841797
1614,EUR,56,14559.439453125
1241,USD,17,14552.0
1889,EUR,8,14544.0
1894,USD,8,14544.0
165,GBP,19,14506.690185546875
148,AUD,5,14499.949951171875
145,CAD,5,14499.949951171875
1660,CAD,50,14499.49951171875
1605,EUR,50,14499.49951171875
1491,USD,63,14427.0
1497,USD,54,14418.0
384,EUR,19,14402.0
1156,AUD,9,14400.0
1498,USD,48,14400.0
1870,GBP,9,14391.0
1895,USD,9,14391.0
1976,EUR,16,14384.0
1910,USD,16,14384.0
219,USD,18,14382.0
365,USD,24,14376.0
192,USD,24,14376.0
1430,EUR,48,14352.0
1559,USD,48,14352.0
134,EUR,41,14347.950500488281
442,CAD,53,14304.699676513672
1610,EUR,49,14209.509521484375
406,USD,37,14169.150451660156
388,USD,37,14169.150451660156
1193,USD,25,14150.0
1069,USD,24,14112.0
1045,USD,24,14112.0
1068,USD,33,14091.0
1229,GBP,9,14040.0
2096,GBP,16,14040.0
1225,EUR,14,14000.0
578,CAD,14,13986.0
566,EUR,14,13986.0
578,USD,14,13986.0
2001,USD,21,13984.740051269531
2019,USD,21,13984.740051269531
405,EUR,20,13980.0
1178,USD,14,13972.0
1464,EUR,54,13932.0
1453,GBP,54,13932.0
1552,USD,35,13930.0
1863,EUR,7,13929.300170898438
1848,EUR,7,13929.300170898438
1196,USD,33,13926.0
1843,CAD,7,13923.0
489,GBP,17,13923.0
1421,GBP,48,13920.0
518,GBP,16,13904.0
1482,USD,58,13862.0
446,GBP,63,13856.849807739258
1227,USD,14,13832.0
1526,USD,58,13804.0
1941,USD,28,13804.0
1144,USD,23,13800.0
99,USD,115,13800.0
142,GBP,46,13799.53955078125
1457,USD,73,13797.0
1124,USD,21,13797.0
1052,USD,22,13794.0
587,AUD,6,13770.0
622,EUR,6,13770.0
1556,EUR,49,13720.0
123,USD,49,13719.509521484375
379,USD,42,13692.0
1183,EUR,9,13680.0
408,EUR,18,13644.0
721,USD,55,13640.0
1438,EUR,47,13630.0
1163,EUR,16,13600.0
1084,USD,21,13566.0
1057,USD,23,13524.0
1529,USD,53,13515.0
1460,EUR,45,13500.0
139,EUR,27,13499.729736328125
140,EUR,27,13499.729736328125
1916,EUR,15,13485.0
1940,EUR,15,13485.0
1413,EUR,45,13455.0
2107,GBP,17,13447.0
1520,USD,48,13440.0
412,USD,35,13403.250427246094
1535,USD,50,13400.0
1224,USD,13,13390.0
1076,USD,21,13377.0
