Product Name,total_quantity_sold,total_revenue
Proseware Chandelier M0615 Grey,3,689.9700164794922
Proseware Floor Lamp X0115 Grey,3,1907.969970703125
Proseware Air conditioner 8000BTU M320 Red,3,1199.969970703125
Litware Wall Lamp E3015 Blue,3,305.9699935913086
Litware 80mm LED Dual PCI Slot Fan E1501 Yellow,3,92.96999931335449
Contoso Washer & Dryer 24in M240 White,4,7272.0
Litware Wall Lamp E3015 White,4,407.9599914550781
Litware Wall Lamp E3015 Grey,4,407.9599914550781
Litware Home Theater System 5.1 Channel M513 Brown,4,2756.0
Litware Home Theater System 5.1 Channel M514 Black,4,2396.0
Litware 180 CFM Vertical Discharge Fan X450 White,4,862.47998046875
Adventure Works Chandelier M6150 Grey,4,919.9600219726562
Litware Desk Lamp E1030 White,4,319.79998779296875
Litware Home Theater System 4.1 Channel M410 Brown,4,2396.0
Litware 80mm Dual Ball Bearing Case Fan E1001 Green,4,19.959999084472656
"Contoso SLR Camera 35"" M358 Blue",4,1432.0
Litware Wall Lamp E3015 Black,4,407.9599914550781
Contoso Wireless Notebook Optical Mouse M35 Orange,4,119.80000305175781
Proseware Air conditioner 5200BTU E100 Silver,4,439.9599914550781
Adventure Works Floor Lamp M2150 White,4,1356.0
Adventure Works Wall Lamp E2150 Black,4,479.9599914550781
WWI Wall Lamp E315 Black,4,407.9599914550781
Litware Home Theater System 2.1 Channel E212 Silver,4,1199.5999755859375
WWI Wall Lamp E315 Grey,4,407.9599914550781
Contoso Smart Battery M901 Blue,5,57.5
Litware 3-Speed Oscillating High-Performance Fan E201 Black,5,149.94999885559082
WWI Desk Lamp E130 Grey,5,399.74998474121094
Proseware Desk Lamp E0120 Silver,5,149.94999885559082
Contoso ADSL Modem Splitter/Filter X 3 E300 Black,5,264.50000762939453
Contoso Home Theater System 7.1 Channel M1700 Brown,5,4445.0
WWI Chandelier M615 Grey,5,1149.9500274658203
Contoso Home/Office Laptop Power Adapter E300 Grey,5,127.5
Proseware Air conditioner 8000BTU M320 Silver,5,1999.949951171875
Litware Home Theater System 5.1 Channel M510 Black,5,3195.0
Proseware Desk Lamp E0130 Black,5,399.74998474121094
WWI Wall Lamp E215 White,5,599.9499893188477
Litware Floor Lamp X1015 White,5,3179.949951171875
NT Washer & Dryer 21in E2100 Silver,5,7999.5001220703125
Litware Home Theater System 4.1 Channel M412 Black,5,2845.0
Litware 17'' Oscillating Pedestal Fan M125 White,5,1050.0
WWI Desk Lamp E120 Blue,5,149.94999885559082
Contoso Home Theater System 4.1 Channel M1400 Silver,5,2045.0
Litware Wall Lamp E2015 Blue,6,719.9399871826172
NT Washer & Dryer 24in M2400 White,6,10913.400146484375
Contoso Home Theater System 2.1 Channel E1200 Brown,6,1794.0
WWI Floor Lamp M215 White,6,2034.0
WWI Chandelier M815 Silver,6,1611.0
SV 4GB Laptop Memory M65 Black,6,474.0
WWI Chandelier M815 Grey,6,1611.0
Contoso Lens cap E80 Grey,6,179.70000457763672
Proseware Wall Lamp E0215 Grey,6,719.9399871826172
Contoso Air conditioner 12000BTU M0640 Silver,6,2759.93994140625
WWI Desk Lamp E130 Silver,6,479.6999816894531
SV 4GB Laptop Memory M65 Blue,6,474.0
Litware Washer & Dryer 24in M260 White,6,10908.0
